profile,count,severity_band
000000000,11942,1
000100000,2606,1
001100000,1381,1
001000000,1267,1
000010000,455,1
000110000,407,1
001110000,386,1
100000000,330,1
000200000,316,1
100100000,314,1
010000000,307,1
003000000,238,1
010100000,224,1
000000100,212,1
000300000,200,1
002000000,183,1
000100100,179,1
001010000,172,1
101100000,169,1
002100000,161,1
000001000,144,1
003100000,142,1
001100100,136,1
110100000,127,1
000101000,121,1
101110000,118,1
011100000,114,1
300000000,105,1
001200000,101,1
111100000,97,1
200000000,90,1
002200000,90,1
100110000,88,1
001000100,77,1
001101000,76,1
010001000,76,1
001110100,72,1
001300000,71,1
011110000,70,1
000100010,70,1
000020000,68,1
101000000,68,1
010101000,67,1
110101000,65,1
010110000,64,1
011101000,62,1
000000010,62,1
110000000,61,1
011000000,59,1
001100010,55,1
000030000,54,1
200100000,53,1
110110000,53,1
001001000,49,1
100010000,49,1
020000000,47,1
001120000,47,1
100100100,44,1
101100100,43,1
000110100,42,1
010010000,40,1
000120000,36,1
002110000,35,1
000111000,35,1
000210000,35,1
010200000,34,1
010100100,34,1
100200000,34,1
102100000,34,1
001111000,33,1
000000300,33,1
110001000,33,1
010111000,32,1
101200000,32,1
000000200,32,1
011100100,31,1
010000100,31,1
001110010,28,1
001000010,28,1
000011000,26,1
000010100,26,1
101010000,26,1
003010000,25,1
110100100,25,1
101101000,24,1
011001000,23,1
100101000,23,1
002100100,22,1
200200000,22,1
300100000,22,1
000310000,21,1
001101100,21,1
000110010,21,1
000130000,21,1
002010000,21,1
000000030,21,1
000101100,21,1
000220000,21,1
001210000,20,1
100210000,20,1
000000020,20,1
011010000,19,1
001010100,19,1
111000000,18,1
010300000,18,1
100300000,18,1
100120000,17,1
100000100,17,1
001100110,17,1
110010000,17,1
001020000,16,1
201100000,16,1
010011000,15,1
100001000,15,1
111001000,15,1
100110100,15,1
110200000,15,1
012100000,15,1
002101000,15,1
000200100,15,1
030000000,15,1
010101100,14,1
201000000,14,1
001011000,14,1
020200000,13,1
000002000,13,1
001010010,13,1
103000000,13,1
000110110,13,1
011000100,13,1
101001000,13,1
000001100,13,1
100100010,13,1
002001000,12,1
210100000,12,1
101100010,12,1
010110100,12,1
010100010,12,1
003001000,12,1
100011000,12,1
000100110,12,1
020100000,12,1
010001100,11,1
000100200,11,1
